ProjectID,Individual,Interpersonal,Organizational,Community,Policy,Not Applicable,Flag,Description
20184142,,,,1,,,,direct-to-consumer advertising
20191082,,,,1,,,,"workforce capacity of health systems, neighborhood resources"
20183142,,1,,,,,,household food insecurity
20184041,1,,,,,,,culturally tailored food budgeting intervention
20181592,,1,,,,,,group visits diabetes self-management systems
20183099,1,,,,,,,DPP sustained
20182033,1,,,,,,,self-led lifestyle intervention
20181090,,,,,,1,,machine learning
20181199,1,,,,,,,"CVD, disability, and diabetes links"
20182066,,,,1,,,,county level contextual data plus individual level data
20182068,,,,1,,,,community factors - food swamps
20182073,1,,,1,,,,county level social determinants and individual level social determinants
20182075,,,,,,1,,improving surveillance systems
20183063,,1,,,,,,group lifestyle balance intervention implemented at the worksite. 
20174104,,,1,,,,,clinical decision support systems
20174188,1,,,,,,,mobile health modules
20174156,1,1,,,,,,community health worker delivered intervention
20173023,1,,,,,,,drugs to manage diabetes in chronic kidney disease patients
20173229,1,,,,,,,patient characteristics and adherence in lifestyle interventions
20181360,1,,,,,,,DPP in marshallese islanders
20173073,,1,,,,,,CHW-led diabetes intervention
20173151,1,1,,,,,,lifestyle intervention plus group and family engagement
20173156,1,1,1,,,,,EHR alert to screen plus CHW delivered lifestyle intervention
20173163,1,1,,,,,,computer delivered intervention to parent-child dyads
20173239,,1,,,,,1,group lifestyle balance intervention implemented at the worksite. 
20173262,1,,,,,,,individual treatment plan for prediabetes
20173289,1,,,,,,,metformin
20173348,,1,,,,,,social support for veterans with diabetes
20174028,,1,,,,,,community health worker delivered intervention plus social support
20173123,,,1,,,,1,patient portal use
20172055,,,,1,1,,,systematic review of community and policy strategies
20173176,,,,,,1,,prediction of a1c variability
20183102,1,,,,,,,insulin pump management
20173193,,,,,,1,,identifying contextual errors
20164047,1,,,,,,,diabetes self management
20164097,,,,,,1,,algorithm to estimate latent diabetes phenotypes
20171354,,,,,,1,,methods - using metas to quantify multiple chronic conditions
