ProjectID,ProjectTitle,Abstract,fromUpdate900,Individual,Interpersonal,Organizational,Community,Policy,Not.Applicable,Flag,Description,haveSEM
20201115,Scalable tools to effectively translate genomic discoveries into the clinic,"We are in the midst of a genomic revolution; more than 250,000 human genomes have been sequenced, generating over a petabase of genomic data. While these new data hold great promise to impact health, there is a disconnect between genomic discovery and clinical care. Providers frequently misinterpret genomic information, patients often don't understand their own test results, and genomic information about disease risk is infrequently shared between patients and family members. Importantly, ineffective communication and data misinterpretation have devastating consequences--including unnecessary organ removal, missed disease prevention opportunities, and premature death. We are addressing these genomic care gaps by developing and testing tools that optimize the integration of whole exome and whole genome sequencing (WES, WGS) for general clinical practice. My vision for improving genomic medicine is based on my work within multidisciplinary consortia and addresses the National Human Genome Research Institute's priority research area of improving the effectiveness of health care. In the proposed work we will test the effectiveness of a multilevel genomic e-Health intervention in cancer (aim 1). Our intervention 1) educates physicians and patients about genomics, 2) enables direct-to-patient return-of-results, 3) provides physicians with patient-specific results and resources for interpretation, and 4) facilitates sharing of genomic results within families. We hypothesize that intervention use will result in higher rates of uptake of high-quality, genetically guided care. We will test our hypothesis in a randomized controlled trial among academic and community physicians who use WES for their patients. Next, we will use an iterative process, with stakeholder engagement, to adapt and pilot test our tool for Spanish- and Mandarin-speaking patients and for patients who have diabetes (aim 2). Finally, we will create and assess new, moderated social networks as a platform for genomic information sharing (aim 3). Our hypothesis is that providers, patients, and family members will engage with the genomic information sharing social networks and find them to be highly useful. Our general approach includes 1) creating the secure social networks; 2) integrating the networks into our e-Health intervention; and 3) using complementary methods, such as interviews and natural language processing, to assess stakeholders' network-related attitudes and network information quality. If successful, we will be well positioned to widely disseminate our e-Health tools. In sum, this work stands to transform how people obtain, process, and share genomic information in the context of clinical care. Our tools reconceive genetic communication to allow for multidirectional flow of information, connects multiple stakeholders with one another, and integrates high-quality dynamic web-based resources to improve genomic care. In creating and deploying tools that both respond to and leverage the complexities of our information environment, we intend to transform genomic research and clinical practice.",1,,1,,,,,,social networks and pt provider comm about genets,0
20201266,"Evidence for value-based prescription drug plan for diabetes, CVD, and chronic illness","Value-based insurance design (VBID) is widely viewed as an important tool to improve the health of consumers and the efficiency of health care spending in the U.S. VBID has found its widest applicability with respect to prescription drugs, and the potential of VBID may be greatest for elderly persons with chronic illnesses such as diabetes and cardiovascular disease that are effectively treated with prescription drugs. The essential feature of a VBID is the fact that prescription drugs may be substitutes or complements with other health care services. Therefore, changes in the use of prescription drugs, for example, because of changes in cost sharing, may affect health and alter use of other health care services. While conceptually appealing, the evidence to support VBID is lacking. Specifically, an effective VBID requires knowledge of the following: the effect of cost sharing on prescription drugs on the use of prescription drugs, the effect of cost sharing on prescription drugs on use of other health care services, and the effect of cost sharing on prescription drugs on health. While some evidence related to each of these links in the causal chain exists, it is not sufficiently detailed to design an effective ""value-based"" prescription drug benefit plan. Our proposed research will provide evidence that will fill in much of the existing knowledge gaps and be instrumental in advancing the scientific base of evidence to inform future VBID, for example, as envisioned in the ""Model Test"" program initiated by Centers for Medicare & Medicaid Services (CMS). The proposed research will exploit the large and widespread changes over time in consumer cost sharing within Medicare Part D plans to estimate the causal association between cost sharing and use of prescription drugs among the elderly, particularly among those with chronic illnesses such as diabetes and cardiovascular disease. We will then exploit the changes in consumer cost sharing to estimate the causal association between cost sharing and use of health care services other than prescription drugs, and cost sharing and health. These aims directly address the specific hypotheses described in PA-17-088: ""Differences in health outcomes between alternative treatment regimens or health care management strategies for older patients with specific common conditions in old age, or with specific combinations of two or more chronic conditions."" The research also focuses on the target population of PA-17-088: ""Groups identified by disease or non-disease status for comparison analyses (e.g., hip fracture patients) either retrospectively for risk factors (e.g., case-control studies) or prospectively for health-related outcomes. Groups defined by administrative databases to explore specific hypotheses regarding aging changes across the lifespan or diagnosis and management of medical conditions common among the elderly (e.g., CMS data, managed and/or accountable care organization data, health insurance databases, electronic health records, etc.).""",1,,,,,1,,,value based insurance design,0
20201089,Pragmatics to Reveal Intention in Social Media (PRISM) for health promotion,"The effects of social relationships on management of health behaviors and adoption of positive wellness regimens has been well documented. In the era of digital and participatory health communication, the role of social ties in health promotion has become more complex. Online communities, which digitize peer-to-peer communication, provide a unique opportunity to researchers to understand collective social mechanisms as well as individual factors underlying human behavior change. Most studies of online and offline social networks have not considered the dynamics among communication intent and content with social influence. In the proposed research, we will develop a multi-dimensional methodological framework for social intercourse analysis to leverage the rich and voluminous data provided by online communities. Our framework aims to incorporate and integrate communication intent, semantics, and structure of online communication to study sociobehavioral factors of health behaviors and chronic disease management. While our methods will be generally applicable, we will develop them in the context of health-related communication between members of online communities, particularly focusing on smoking cessation and diabetes management. This research proposal will result in 1) new theoretical frameworks that describe the communication domain in an online social setting for behavior change; 2) scalable techniques to model expressions, semantics, and social dependencies associated self-reported health outcomes; and 3) new proposals for the development of data-driven sociobehavioral interventions to support individuals engaging in positive health behavior changes and chronic disease management.",1,,1,,,,,,social relationships,0
20201448,Restricted mean survival time to interpret clinical trials for treatment decision making in older adults,"Patient-centered care of older adults with multimorbidity involves shared decision making based on accurate communication of evidence. In clinical trials, treatment effect is conventionally summarized in terms of relative risk reduction using hazard ratios and absolute risk reduction. Despite widespread use, these conventional measures based on probabilities are not well understood by clinical community and often misleading in treatment decision making. We have recently proposed restricted mean survival time (RMST) as a patient-centric outcome metric that can be intuitively interpreted as the average event-free survival time up to a prespecified time point. Treatment effect can be summarized using RMST difference, which means ""gain or loss in event-free survival time due to treatment in a prespecified period."" Since it is expressed on a time scale that most clinicians and patients can relate to, it has great potential to facilitate shared decision making in older adults, which involves assessment of benefit within a defined time frame, such as the remaining life expectancy. The objective of this application is to determine the usefulness of RMST in treatment decision making, using an example of intensive vs. standard blood pressure lowering strategies in older adults. Our hypothesis is that presenting evidence using RMST difference, rather than absolute and relative risk reduction, would be more effective in reducing patients' uncertainty about treatment choice. To test our hypothesis, we will accomplish 2 specific aims to 1) determine the benefit of intensive vs. standard blood pressure lowering strategies using RMST difference in older adults and identify characteristics associated with a greater RMST benefit; and 2) evaluate the effect of evidence communication formats based on RMST difference vs. conventional measures on patients' uncertainty in treatment decision making. For aim 1, we will analyze 2 publicly available datasets from the Action to Control Cardiovascular Risk in Diabetes Trial and Systolic Blood Pressure Intervention Trial to estimate RMST difference. For aim 2, we will conduct an online survey of 200 community-dwelling older adults and an in-person survey of 100 residents at a local senior housing site. Participants will be randomized to one of the 2 evidence presentation formats, RMST vs. conventional measures, to assess the effect on reducing uncertainty in decision making. We will conduct focus group interviews of 20-30 survey participants to further understand the reasoning and context behind their choice. Our approach is innovative, because we apply an intuitive and methodologically robust RMST to analyze and interpret clinical trial data, and rigorously evaluate the acceptability and understanding from the patient's perspective by adopting quantitative and qualitative design. The impact of this research is expected to be significant, because our method has great potential to be generalized to other clinical trials with time-to-event endpoints to facilitate shared decision making in older adults.",1,1,,,,,,,delivery of information to patients,0
20202056,BEST-VIVA registry (vCLI),"Critical limb ischemia (CLI), a lack of blood flow to the leg characterized by leg pain at rest or by tissue loss, affects approximately 2 million Americans and is characterized by increased rates of cardiovascular and limb complications. Management of CLI is rapidly evolving, with the advent of minimally invasive techniques to restore blood flow and advances in wound care. However, there is little consensus regarding optimal treatment. The ongoing NIH-funded BEST-CLI is designed to assess the comparative effectiveness of minimally invasive versus full surgical restoration of blood flow in CLI; however, little is known about current nationwide practice patterns, outcomes, quality of life, and health care resource utilization in CLI. Additionally, the BEST-CLI trial will enroll a selected patient population that may not be fully representative of ""real world"" CLI patients. As a result, in conjunction with the BEST-CLI investigators and BEST-CLI trial, we propose the companion BEST-VIVA registry (vCLI) to investigate the following aims: 1) describe the baseline demographics, comorbidities, and treatment strategies of consecutive patients excluded from the BEST-CLI trial and included in the vCLI registry, with a focus on variations in care; 2) describe the clinical outcomes--specifically major adverse limb events (MALE)-free survival, wound healing, and major adverse cardiovascular events (MACE)--by treatment strategy in CLI patients, with a focus on causes of outcome variation within treatment strategy; and 3) describe health care-related quality of life and health care costs, by treatment strategy in the vCLI registry, with a focus on causes of variation in quality of life and costs. Methods: The vCLI registry will be funded by a unique public/private partnership with governance from both vCLI primary investigators and BEST-CLI primary investigators. For aim 1, multilevel multivariate regression will be used to identify patient, physician/hospital, and geographic factors associated with variations in treatment strategies. For aim 2, Kaplan Meier and cumulative incidence estimates of limb and cardiovascular outcomes will be stratified by treatment strategy and other subgroups of interest. The impact of diabetes and chronic kidney disease (CKD) will be quantified by multivariable modeling and clinical risk prediction scores will be developed separately for each treatment strategy. For aim 3, quality of life, costs, and cost-effectiveness will be described for each treatment strategy and sources of variation within each treatment strategy will be identified via multivariable regression. Impact: The results of the grant will help to illuminate current practices and outcomes in the care of CLI. Data generated regarding patient demographics, variations in clinical outcomes, and variations in costs/cost-effectiveness will serve to 1) identify targets for future health care systems interventions to improve adherence to guideline-recommended care, 2) provide context and generalizability for the findings of the BEST-CLI trial, and 3) identify specific health care system targets to help speed the adoption of BEST-CLI Trial findings into clinical practice.",1,1,,,,,,,factors related to critical limb ischemia,0
20201428,Glucose levels and preventable hospitalizations in Alzheimer and diabetes,"As people in the U.S. live longer, persons with comorbid Alzheimer disease or related dementias (hereafter dementia) and diabetes become increasingly common in clinical care. Diabetes is a largely ambulatory and self-managed condition that should not require inpatient care. Persons living with dementia and diabetes (PWD&D), however, have high risks of hospitalizations. These hospitalizations are considered preventable and potentially avoidable. There is a need to understand care considerations in PWD&D that predispose them to potentially preventable hospitalizations (PPH), and this has been articulated as an important national goal. In diabetes, glycemic control has been fundamental in clinical care as it reduces risks of diabetes complications. Older adults with diabetes, in particular those with cognitive deficits, however, may have difficulty managing glucose at home and therefore have higher rates of diabetes complications. PWD&D are also susceptible to overtreatment and have increased health care utilization because of hypoglycemia. Therefore, both the risks of diabetes complications and the risks of therapy (e.g., hypoglycemia) should be considered when setting therapeutic goals. However, the most appropriate glycemic targets for these patients have not been empirically determined. The American Geriatric Society (AGS) and American Diabetes Association (ADA) have promulgated recommendations on optimal glucose targets in persons with cognitive impairment, but these are consensus statements and should be strengthened through higher levels of evidence. To our knowledge, no prior prospective study with research standards for dementia diagnosis has evaluated the implications of incident dementia for glucose control among people with diabetes and, particularly in terms of rates of hospitalizations, PPH, and diabetes-related PPH. We propose to examine the relationship between dementia onset, glucose levels, and rates of different types of hospitalizations in people with diabetes from the National Institute on Aging (NIA)-funded Adult Changes in Thought (ACT) study. ACT resources include extensive clinical laboratory data, incident research-quality dementia diagnoses, and complete capture of hospitalization and medication data. Our first aim will be to determine the extent to which dementia onset is associated with higher rates of overall hospitalizations, rates of PPH, and rates of diabetes-related PPH among persons with treated diabetes. Our second aim will be to evaluate the association of average time-varying individual-level glucose levels with the rates of overall hospitalization, PPH, and diabetes-related PPH while accounting for incident dementia and other time-varying confounders. By leveraging ACT, the proposed study provides an extraordinary opportunity for new observational insights into the associations among dementia, glucose control, and hospitalizations in older persons with diabetes. Findings from this study address national priority and will advance our understanding of the role of glycemic control on admission risks in an understudied aged population and will provide preliminary data for developing strategies that mitigate the adverse effects of over or undertreatment in diabetes management.",1,1,,,,,,,dementia and gluocse levels,0
20202196,"Effect of ACA Medicaid expansion on diabetes: diagnosis, treatment, patient compliance, and health outcomes","Diabetes and its complications are among the largest contributors to health care costs, cost growth, and patient morbidity and mortality. Diabetes is often not timely diagnosed. When it is diagnosed, patients often fail to comply with a complex treatment regimen. The health burden of diabetes falls disproportionately on the poor and on ethnic minorities. A central goal of our project is to examine how the Affordable Care Act (ACA) expansion of Medicaid will affect diabetes diagnosis, treatment, and outcomes among the newly enrolled. We will do so using the natural experiment that results from some states expanding Medicaid and others choosing not to do so, combined with detailed, longitudinal electronic health records (EHR) for a large population of 9 million persons in four expansion and five non-expansion states. The combination of a multistate shock to Medicaid eligibility and large-scale access to EHR is unique. Prior studies of adult Medicaid expansions have been small scale, have been short duration, have lacked detailed health records, or have been a combination of these limitations. The best available study, the Oregon Health Insurance Experiment, compared 6,000 new Medicaid recipients to 6,000 controls in a single state, for a two-year period. The Oregon research found large increases in diabetes diagnosis and use of diabetes medication, but no significant change in blood sugar levels. Yet any effect of Medicaid on outcomes will emerge slowly. In contrast, we estimate that we will have 100-150,000 new Medicaid recipients, 5 years of pretreatment data to establish baseline health and match treated individuals to controls, 6 years of posttreatment data in the study period (with potential follow-up after that), and several treated states, with different Medicaid programs, and potential to expand to additional states. This will let us study both near- and medium-term outcomes and assess whether treatment effects vary with personal characteristics or the nature of the Medicaid program. A second project goal is to innovate in causal inference methods. We will combine difference-in-differences (DiD), matching, and multiple imputation methods. We will use matching and multiple imputation methods to match control persons in non-expansion states to match to new Medicaid enrollees in expansion states. We will use distributed lag regressions to map the emergence of any treatment effect over time. DiD, matching, and multiple imputation methods have not to our knowledge been combined in a single study. This combined design will be useful in studying other health insurance expansions.",1,,,,,1,,,ACA evaluation,0
20202197,Impact of health savings account (HSA) cost sharing reductions on high-deductible members with diabetes,"High-deductible health plans (HDHPs) have lower premiums but require patients to pay the full cost of most medical care until annual deductibles of $1000 to $6000 are met. HDHPs have proliferated rapidly over the last decade. Health savings account (HSA)-qualified HDHPs are the most rapidly growing HDHP arrangement, now covering 14% of commercially insured Americans. These plans subject most health care services (including medications) to high annual deductibles but allow pre-tax contributions to accounts that can be used for medical costs. Advocates believe that exposing patients to greater costs will create ""activated consumers"" who will seek higher value health care and adopt healthy behaviors, while critics fear that these economic barriers may reduce access to needed care. Our ongoing project in the Natural Experiments in Diabetes Translation (NEXT-D) initiative (5U58DP002719) has determined that diabetes patients with HSA-HDHPs experience the largest reductions in hospital access and adherence to key medications for chronic illness. Although these findings are concerning, federal regulations allow employers to tailor HSA-HDHPs through two mechanisms that could improve access to care: (1) exempting certain chronic medications from deductible requirements (i.e., medications cost $0 to patients) through ""preventive drug lists"" ($0-PDs); and (2) generously funding HSAs so that employees pay less out of pocket. Thus, HSA-HDHPs represent both a risk to diabetes patients but also an opportunity for employers to improve care through tailored cost sharing reductions. In this application, we will examine effects of these two important variations in HDHP design on diabetes secondary prevention, high-priority care, diabetes complications, and costs, both overall and among vulnerable subgroups (men, low socioeconomic status, black or Hispanic, severe diabetes, high comorbidity). We will employ a cutting-edge interrupted time series study design that approximates the estimates of randomized controlled trials. We will draw from a 12-year rolling cohort (2005-2017) of >60 million members insured by a large national health plan, with 30,000 diabetes patients who experience employer-mandated transitions to HSA-HDHPs. We will also conduct economic analyses from the employer and member perspectives of the impacts of $0-PDs and generously funded HSAs on total health care and out-of-pocket costs. Our findings will allow policy makers and employers to develop tailored, next-generation health insurance designs that optimize quality and equity for diabetes patients who are most vulnerable under HDHPs.",1,,,,,1,,,high deductible health plans,0
20193103,Using peer navigators to increase access to VA and community resources for veterans with diabetes-related distress,"Diabetes-related distress, the negative emotional impact of living with diabetes (DM), is a powerful predictor of psychosocial functioning, treatment adherence, and glycemic control. Practice guidelines and consensus statements call for innovative approaches to address DM-related distress. Despite availability of self-management and psychosocial interventions to reduce DM-related distress, these interventions are underutilized due to constraints in time, finances, motivation, and resource awareness. Interventions that leverage traditional medical care and community-based health promotion programs (e.g., DM self-management education [DSME] programs) may enhance the ability of veterans with DM to engage with a broad and accessible range of resources. Ensuring that veterans with DM receive adequate self-care support requires interventions that (1) attend to both medical care and diabetes-related distress and (2) improve veterans' access and engagement with DSME and traditional medical/mental care. Integrating Department of Veterans Affairs (VA) and community health services and DSME resources is innovative and affords great opportunities to enhance veteran outcomes and build VA community partnerships. Engagement of veterans and community organizations in developing and delivering care responds to the 2016 Health Services Research and Development Service (HSR&D) high-priority domain of Health Care Systems Change and aligns with the 2017 VA Under Secretary's priorities of greater choice (offering community and VA resources), efficiency (community and VA coordination), and timeliness (telephone delivery). This community-VA partnership and three-month veteran peer coaching intervention (iNSPiRED) aims to enhance psychological wellbeing and diabetes self-management behavior in veterans with DM by facilitating access to and use of health care and health promotion resources. The intervention focuses on reducing cognitive and practical barriers to use of services by engaging veteran peers as coaches and navigators, and by encouraging engagement in health promotion and health care services in the VA and the greater community. A secondary goal, integral to the main goal, is to strengthen and integrate Veterans Health Administration (VHA) partnerships with community-based organizations and veteran support organizations (VSOs). This is a single-blind, parallel group randomized trial of a 3-month peer navigation intervention for veterans with DM and elevated levels of DM-related distress. We will recruit veterans with DM-related distress through existing help seeking channels within and outside of the VA in partnership with community agencies, veteran service organizations (VSOs), and the Houston VA Medical Center (VAMC). Eligible veterans will be assigned at random to the iNSPiRED intervention (peer navigation and coaching) versus usual care (written resource materials and encouragement to continue follow-up with health care providers). Consistent with the focus on the overall emotional impact of DM, the primary outcome is DM-related distress (DM Distress Scale [DDS]). In previous studies the DDS has shown strong relationships with psychological symptoms, self-management behaviors, and objective measures of glycemic control. Secondary outcomes include anxiety symptoms (Generalized Anxiety Disorder Scale), depression symptoms (Patient Health Questionnaire-8), DM self-management behaviors (DM Self-Management Scale), and self-reported use and new use of VA or community resources. In addition to participant-level outcomes, we will also assess stakeholder outcomes through a mixed-methods process evaluation. Our objective will be to measure the impact of stakeholder engagement activities on development and sustainability of VA-community partnerships, trust and communication, and capacity building. Assessment of primary and secondary endpoints will occur at baseline, post-intervention, and at 6 months. If this project meets intended goals, we will partner with VHA Office of Community Engagement and VHA Specialty Care to implement the intervention for DM and other chronic diseases.",1,,1,,1,,,,peer navigation and community organizations,1
20193153,A direct-to-patient alert for glycated hemoglobin screening using prediction modeling and mobile health (mHealth),"The purpose of this project is to develop a novel direct-to-patient alert using text messaging. The text messages will be targeted to patients found to be at a high risk for elevated blood sugar using a previously validated risk calculator that was created from routine data available in an electronic health record (EHR), which was found to be significantly more accurate than existing tools for identifying at-risk patients. Text messages will be sent to high-risk individuals who have agreed to receive texts. The message will inform patients of their elevated risk for diabetes, invite patients to undergo a free diabetes screening test, and provide a link to a web page containing additional relevant information. Studies that improve the detection of patients with abnormal glucose are important because most patients diagnosed with type 2 diabetes already have evidence of end-organ damage by the time the disease is identified. Earlier diagnosis can lead to additional prevention strategies to detect and reduce associated morbidities by alerting the physician and patient to a previously unrecognized health status and facilitate shared decision making. The patients will be offered the opportunity to undergo a free diabetes screening test (glycated hemoglobin) that does not require fasting, can be performed at the patients' convenience, and does not require an office visit. Patients with an elevated glycated hemoglobin (>5.7%) will be encouraged to follow up with their physician. An additional component of the grant is a qualitative study that will perform focus groups with patients to create the most appealing texting intervention possible. Preliminary findings indicate a strong preference for texting over alternative modes of communication and identify favorable content components and phrasing. The inclusion of an informational web page was suggested by preliminary focus groups to enhance content and length of the message. The qualitative component is important as it explores ways to optimize direct patient engagement as a means to overcome the poor response of physicians to electronic reminders due to a phenomenon that has been termed, ""alert fatigue."" The project is also novel in the use of text messaging, which has recently become both inexpensive and widely available across all ages, races, and income groups for a direct-to-patient intervention. Previous research indicates that universal screening for diabetes is not cost-effective, while targeted screening using crude patient groups is marginally cost-effective. Although this pilot grant will likely be too small to demonstrate definitive cost benefits of targeted diabetes screening using a risk calculator, it will set the stage for a larger randomized trial in the future. This pilot and a future trial can also contribute to the wider assessment of the viability of texting as a tool for preventive medicine in general and serve as evidence to support greater routine use of interventions involving accessible and cost-effective health information technology methods that are currently underutilized by demonstrating successful flow from application of the calculator to EHR data to text to laboratory results. The authors strongly believe in patient empowerment and hope that this project will encourage more studies to leverage direct patient interventions based on personalized recommendations to promote self-efficacy and equity within the healthcare system.",1,1,,,,,,,text messaging,1
